Price,Close,High,Low,Open,Volume
Ticker,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS
Date,,,,,
2013-11-20,147.04493713378906,151.41958874498977,145.35151851306958,145.82191177686593,2698124
2013-11-21,143.0465850830078,149.2557671479097,140.92981553366945,145.44559344331043,2137637
2013-11-22,143.65811157226562,146.6686258342751,142.1058194176361,144.69298257886155,1257846
2013-11-25,151.70181274414062,152.40740257085756,144.03440903592133,144.03440903592133,4082301
2013-11-26,148.6912841796875,152.7836961530075,147.04490808167984,150.61989905126285,1910831
2013-11-27,142.71731567382812,149.4909759110361,141.77652913101414,149.4909759110361,1401835
2013-11-28,147.75050354003906,150.00838510519716,144.175512432488,144.6929478114545,3487149
2013-11-29,148.5972137451172,152.45444385016137,147.18603410013932,148.50314371527568,2648844
2013-12-02,150.2435760498047,151.70179775196087,147.98569456955406,149.16167749786382,2244372
2013-12-03,148.7383270263672,152.31330365651814,147.37417534062706,150.10246435684695,1900138
2013-12-04,145.30447387695312,152.07813389088363,143.37585865670394,148.26796000229098,3191123
2013-12-05,150.90213012695312,152.6425906780211,148.87944514512688,150.43173693534135,6219677
2013-12-06,153.63043212890625,155.55904724722507,149.02056985155124,150.14952509025838,3596446
2013-12-09,155.08863830566406,159.13400819860627,154.28896415179742,158.05210961891441,3404813
2013-12-10,150.4788055419922,155.088668242202,149.3498645549914,155.088668242202,1777162
2013-12-11,147.65643310546875,150.43175031170676,146.38637998834065,150.43175031170676,1147763
2013-12-12,145.0692596435547,148.87944742501003,143.94031883745043,146.95083243881547,986715
2013-12-13,142.99952697753906,146.48043364475598,142.15282499411842,143.9403133392334,1293806
2013-12-16,147.0919647216797,147.9857089630712,141.58835833978918,141.58835833978918,1748287
2013-12-17,148.22091674804688,150.29064418819323,147.28013024295646,148.1268323554327,1182370
2013-12-18,148.9264678955078,150.7139560482018,147.0448953746682,147.0448953746682,2880051
2013-12-19,157.2994842529297,158.47546726073458,147.04491816697558,150.5258249990258,2524728
2013-12-20,153.53634643554688,158.05212428620513,152.03109672216883,157.1113378321206,1737990
2013-12-23,152.36033630371094,155.7942148643065,151.93698534562643,154.28895106305097,1846021
2013-12-24,149.86727905273438,154.75936554856688,149.20873143209064,153.53634033579337,750508
2013-12-26,150.4788055419922,154.57123276954144,149.4909767951427,150.52584774046377,2433227
2013-12-27,150.52584838867188,153.81860132217406,150.10249731113143,151.1843961043196,534707
2013-12-30,147.75050354003906,152.07811226580222,147.04491375651955,151.79588783660313,1300968
2013-12-31,146.19822692871094,149.3498676736944,145.49263700269347,147.89164562220557,983269
2014-01-01,147.04493713378906,148.4090747277458,145.39856071050187,145.39856071050187,851727
2014-01-02,143.61105346679688,149.96136234108502,142.15284587617055,146.4804551625278,2862278
2014-01-03,141.02389526367188,144.74001354556637,138.76601333123503,142.52915945547193,1636752
2014-01-06,141.91763305664062,143.46992486222584,140.1771724883387,141.58835207714748,750034
2014-01-07,137.3077850341797,143.18770058339314,136.69627955916653,141.91764743792058,1069056
2014-01-08,141.82354736328125,143.1876847487913,135.84954808381806,138.38968280438414,1195550
2014-01-09,140.69461059570312,144.12847525276257,139.75382418497327,140.60052621252558,1377312
2014-01-10,139.5186309814453,142.9995379149004,138.95415337915023,141.40020384874663,820545
2014-01-13,135.23805236816406,141.07092549490378,133.77983049766362,139.70678801163385,1444514
2014-01-14,138.34266662597656,140.83574526979797,133.59169162325185,134.53247818397895,2065518
2014-01-15,141.21205139160156,141.9646690647511,138.38969205150502,138.38969205150502,1073586
2014-01-16,141.87060546875,143.42289743411314,140.27127130786562,140.27127130786562,1193550
2014-01-17,139.84786987304688,142.6232007858762,136.50809018043742,141.30609142693405,1122874
2014-01-20,142.01170349121094,143.46992527489323,139.94197629272372,140.271257273164,1223239
